job_id,title,company,location,posted_date,description,salary_min,salary_max,experience_years,job_type
1,Senior Data Scientist,TechCorp India,Bangalore,2024-01-15,"Lead data science initiatives using Python, machine learning, TensorFlow, and deep learning. Strong communication skills and teamwork required. Experience with SQL, data visualization, and statistical analysis.",1200000,2000000,5,Full-time
2,Full Stack Developer,StartupXYZ,Mumbai,2024-02-01,"Build scalable web applications using React, Node.js, JavaScript, MongoDB. Knowledge of AWS, Docker, CI/CD pipelines. Problem-solving and collaboration essential.",800000,1500000,3,Full-time
3,Machine Learning Engineer,AI Solutions Ltd,Hyderabad,2024-02-10,"Develop ML models using PyTorch, scikit-learn, NLP techniques. Experience with cloud platforms (Azure/GCP), data preprocessing, feature engineering required.",1000000,1800000,4,Full-time
4,DevOps Engineer,CloudTech,Pune,2024-01-20,"Manage infrastructure using Kubernetes, Jenkins, Terraform, Ansible. Strong Linux administration, scripting (Bash/Python), monitoring (Prometheus) skills needed.",900000,1600000,3,Full-time
5,Backend Developer,FinTech Innovations,Bangalore,2024-03-05,"Design RESTful APIs using Java, Spring Boot, microservices architecture. PostgreSQL, Redis, message queues (Kafka/RabbitMQ) experience. Attention to detail critical.",700000,1300000,2,Full-time
6,Data Analyst,Retail Analytics Co,Delhi,2024-01-25,"Analyze business data using Excel, Tableau, Power BI. SQL proficiency, statistical knowledge, data storytelling abilities required. Adaptability and curiosity valued.",500000,900000,1,Full-time
7,Frontend Developer,UX Design Studio,Bangalore,2024-02-15,"Create responsive interfaces with React, TypeScript, HTML/CSS, Redux. Figma collaboration, accessibility standards, creative thinking essential.",600000,1100000,2,Full-time
8,Python Developer,Automation Corp,Chennai,2024-03-01,"Develop automation scripts and data pipelines using Python, Pandas, FastAPI. Experience with web scraping, ETL processes, Git version control.",650000,1200000,2,Full-time
9,Cloud Architect,Enterprise Solutions,Gurgaon,2024-01-30,"Design cloud infrastructure on AWS/Azure with security best practices. Networking, IAM, cost optimization, strategic thinking capabilities needed.",1500000,2500000,6,Full-time
10,Business Intelligence Developer,Data Insights Inc,Pune,2024-02-20,"Build dashboards and reports using Tableau, Power BI, SQL Server. Data modeling, ETL development, stakeholder management skills required.",700000,1300000,3,Full-time
11,AI Research Scientist,Deep Learning Labs,Bangalore,2024-03-10,"Research computer vision, NLP, reinforcement learning using TensorFlow, PyTorch. Strong mathematics, research methodology, academic writing needed.",1400000,2200000,5,Full-time
12,Quality Assurance Engineer,Software Testing Ltd,Hyderabad,2024-02-05,"Perform manual and automated testing using Selenium, JUnit, TestNG. API testing (Postman), performance testing, analytical mindset essential.",500000,1000000,2,Full-time
13,Product Manager,Consumer Tech,Mumbai,2024-01-18,"Define product roadmap, gather requirements, collaborate with engineering teams. Leadership, strategic thinking, user empathy critical.",1200000,2000000,4,Full-time
14,Data Engineer,BigData Solutions,Bangalore,2024-02-28,"Build data pipelines using Apache Spark, Airflow, Python, Hadoop. SQL optimization, data warehousing (Snowflake/Redshift) experience needed.",900000,1700000,3,Full-time
15,Mobile App Developer,App Ventures,Delhi,2024-03-08,"Develop iOS/Android apps using React Native, Flutter, Swift, Kotlin. RESTful API integration, UI/UX sensitivity, time management skills.",700000,1400000,2,Full-time
16,Cybersecurity Analyst,SecureNet India,Bangalore,2024-01-22,"Monitor security threats, conduct vulnerability assessments, implement security controls. Ethical hacking, incident response, attention to detail required.",800000,1500000,3,Full-time
17,Blockchain Developer,CryptoTech,Pune,2024-02-12,"Develop smart contracts using Solidity, Web3.js, Ethereum. Cryptography knowledge, problem-solving, innovation mindset essential.",1000000,1800000,3,Full-time
18,UI/UX Designer,Creative Agency,Bangalore,2024-03-03,"Design user interfaces using Figma, Adobe XD, Sketch. User research, prototyping, empathy, creativity, collaboration abilities needed.",600000,1200000,2,Full-time
19,Network Engineer,Telecom Giant,Chennai,2024-01-28,"Manage network infrastructure including routers, switches, firewalls. Cisco certifications, troubleshooting, communication skills required.",700000,1300000,3,Full-time
20,Salesforce Developer,CRM Solutions,Hyderabad,2024-02-18,"Customize Salesforce platform using Apex, Visualforce, Lightning components. Integration experience (REST APIs), client interaction skills.",800000,1500000,3,Full-time
21,IoT Engineer,SmartDevices Ltd,Bangalore,2024-03-12,"Develop IoT solutions using Arduino, Raspberry Pi, MQTT, Python. Embedded systems, sensor integration, innovation required.",750000,1400000,2,Full-time
22,Site Reliability Engineer,Scale Systems,Mumbai,2024-02-25,"Ensure system reliability using monitoring tools, automation, incident management. Linux, scripting, on-call responsibility, resilience needed.",1000000,1800000,4,Full-time
23,Game Developer,Gaming Studio,Pune,2024-01-12,"Create games using Unity, C#, Unreal Engine. 3D modeling basics, gameplay mechanics, passion for gaming essential.",600000,1200000,2,Full-time
24,Scrum Master,Agile Consultancy,Bangalore,2024-02-08,"Facilitate agile ceremonies, remove blockers, coach teams. Scrum certification, servant leadership, conflict resolution skills.",900000,1600000,4,Full-time
25,Technical Writer,Documentation Pro,Delhi,2024-03-06,"Create technical documentation, API guides, user manuals. Writing skills, technical aptitude, attention to detail required.",500000,900000,2,Full-time
26,ETL Developer,Data Warehouse Co,Hyderabad,2024-01-16,"Design ETL processes using Informatica, SSIS, SQL. Data transformation, scheduling, troubleshooting abilities needed.",700000,1300000,3,Full-time
27,SAP Consultant,ERP Systems,Bangalore,2024-02-22,"Implement SAP modules (FICO/MM/SD), configure systems, train users. Business process knowledge, client management essential.",1100000,1900000,5,Full-time
28,Robotics Engineer,Automation Robotics,Chennai,2024-03-15,"Design robotic systems using ROS, Python, computer vision. Mechanical knowledge, programming, innovation mindset required.",900000,1600000,3,Full-time
29,Content Strategist,Digital Marketing,Mumbai,2024-02-14,"Plan content strategy, SEO optimization, analytics tracking. Creativity, data-driven thinking, communication skills needed.",550000,1000000,2,Full-time
30,Systems Administrator,IT Services,Pune,2024-01-26,"Manage servers, Active Directory, backup systems, security patches. Windows/Linux administration, troubleshooting, reliability essential.",600000,1100000,3,Full-time
