skill_name,category,subcategory,aliases
Python,Technical,Programming Language,"python,py"
Java,Technical,Programming Language,"java"
JavaScript,Technical,Programming Language,"javascript,js,ecmascript"
TypeScript,Technical,Programming Language,"typescript,ts"
C++,Technical,Programming Language,"c++,cpp"
C#,Technical,Programming Language,"c#,csharp"
R,Technical,Programming Language,"r programming"
Go,Technical,Programming Language,"golang,go"
Ruby,Technical,Programming Language,"ruby"
PHP,Technical,Programming Language,"php"
Swift,Technical,Programming Language,"swift"
Kotlin,Technical,Programming Language,"kotlin"
Scala,Technical,Programming Language,"scala"
Rust,Technical,Programming Language,"rust"
SQL,Technical,Database,"sql,structured query language"
PostgreSQL,Technical,Database,"postgresql,postgres"
MySQL,Technical,Database,"mysql"
MongoDB,Technical,Database,"mongodb,mongo"
Redis,Technical,Database,"redis"
Cassandra,Technical,Database,"cassandra"
Oracle,Technical,Database,"oracle database"
SQL Server,Technical,Database,"sql server,mssql"
DynamoDB,Technical,Database,"dynamodb"
Elasticsearch,Technical,Database,"elasticsearch,elastic"
Machine Learning,Technical,AI/ML,"machine learning,ml"
Deep Learning,Technical,AI/ML,"deep learning,dl"
Natural Language Processing,Technical,AI/ML,"nlp,natural language processing"
Computer Vision,Technical,AI/ML,"computer vision,cv"
Reinforcement Learning,Technical,AI/ML,"reinforcement learning,rl"
TensorFlow,Technical,AI/ML,"tensorflow"
PyTorch,Technical,AI/ML,"pytorch,torch"
Keras,Technical,AI/ML,"keras"
scikit-learn,Technical,AI/ML,"scikit-learn,sklearn"
XGBoost,Technical,AI/ML,"xgboost"
LightGBM,Technical,AI/ML,"lightgbm"
Pandas,Technical,Data Science,"pandas"
NumPy,Technical,Data Science,"numpy"
Matplotlib,Technical,Data Science,"matplotlib"
Seaborn,Technical,Data Science,"seaborn"
Data Analysis,Technical,Data Science,"data analysis"
Data Visualization,Technical,Data Science,"data visualization,data viz"
Statistical Analysis,Technical,Data Science,"statistical analysis,statistics"
A/B Testing,Technical,Data Science,"a/b testing,ab testing"
React,Technical,Web Development,"react,reactjs,react.js"
Angular,Technical,Web Development,"angular,angularjs"
Vue.js,Technical,Web Development,"vue,vuejs,vue.js"
Node.js,Technical,Web Development,"node,nodejs,node.js"
Express.js,Technical,Web Development,"express,expressjs"
